id,name,latitude,longitude,dep_count,dep_mean,dep_min,dep_max,dep_median,arr_count,arr_mean,arr_min,arr_max,arr_median,statusValue,totalDocks
266,Avenue D & E 8 St,40.72368361,-73.97574813,10204,865.389161113,61,21510,744.0,9789,862.556849525,61,18988,732.0,In Service,24
267,Broadway & W 36 St,40.75097711,-73.98765428,21885,762.538953621,60,20577,567.0,20723,796.997490711,60,21485,594.0,In Service,57
268,Howard St & Centre St,40.71910537,-73.99973337,30028,834.020014653,60,21336,626.0,30412,875.983493358,60,21474,671.0,In Service,27
270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,11612,541.73544609,60,20249,347.0,11109,571.705734089,60,19414,385.0,In Service,23
271,Ashland Pl & Hanson Pl,40.68528172,-73.97805813,6408,732.609238452,64,19929,493.0,6767,771.473326437,64,17819,499.0,In Service,34
274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,8218,845.193477732,60,21429,556.0,9074,838.64976857,60,19623,529.0,In Service,31
275,Washington Ave & Greene Ave,40.68650065,-73.96563307,5430,812.502578269,61,18594,469.0,4956,839.337974173,61,20144,519.0,In Service,19
276,Duane St & Greenwich St,40.71748752,-74.0104554,18350,816.436566757,60,19308,607.0,18000,870.691888889,60,20805,699.0,In Service,25
278,Concord St & Bridge St,40.69766564,-73.98476437,5329,875.675548883,64,18313,698.0,4999,945.725945189,64,18401,628.0,In Service,19
279,Peck Slip & Front St,40.707873,-74.00167,26405,1203.27816701,60,21293,1014.0,27293,1136.82772139,60,21169,962.0,In Service,36
280,E 10 St & 5 Ave,40.73331967,-73.99510132,29932,687.780268609,60,20847,522.0,30183,684.501010503,60,19602,513.0,In Service,31
281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,51914,1750.63489617,60,21558,1109.5,49664,1716.33132651,60,21576,1044.0,In Service,59
282,Kent Ave & S 11 St,40.70827295,-73.96834101,8939,1090.48461797,60,21140,850.0,8846,1082.45919059,60,20457,916.0,In Service,27
284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,67864,707.556804786,60,21231,532.0,69383,672.945505383,60,21234,506.0,In Service,43
285,Broadway & E 14 St,40.73454567,-73.99074142,73599,666.643989728,60,21555,503.0,74201,671.06157599,60,21337,516.0,In Service,47
289,Monroe St & Classon Ave,40.6845683,-73.95881081,2799,934.326902465,62,17423,620.0,2293,963.275621457,62,17717,647.0,In Service,19
290,2 Ave & E 58 St,40.76020258,-73.96478473,21124,956.930931642,60,20496,805.0,20873,1124.84027212,60,20496,903.0,In Service,34
291,Madison St & Montgomery St,40.713126,-73.984844,11626,767.709702391,65,19857,609.0,11471,816.849707959,65,21153,647.0,In Service,20
293,Lafayette St & E 8 St,40.73028666,-73.9907647,95804,675.41169471,60,21270,509.0,96270,643.287161109,60,20929,483.0,In Service,55
294,Washington Square E,40.73049393,-73.9957214,27847,713.520379215,60,21494,542.0,27862,718.7050463,60,20476,567.0,In Service,34
295,Pike St & E Broadway,40.71406667,-73.99293911,20903,736.829402478,60,19491,579.0,20758,764.547210714,61,21571,612.0,In Service,24
296,Division St & Bowery,40.71413089,-73.9970468,21543,817.225780996,60,20273,626.0,22260,801.543486074,60,21189,630.0,In Service,35
297,E 15 St & 3 Ave,40.734232,-73.986923,41104,647.285714286,60,19686,508.0,41292,651.531604185,61,20957,503.0,In Service,27
298,3 Ave & Schermerhorn St,40.68683208,-73.9796772,4673,1003.41729082,71,21007,679.0,4682,1051.27894062,71,20675,737.5,In Service,35
300,Shevchenko Pl & E 7 St,40.728145,-73.990214,31176,685.713657942,60,21148,523.0,31943,658.440910372,60,20892,492.0,In Service,55
301,E 2 St & Avenue B,40.72217444,-73.98368779,35903,757.354872852,60,21169,599.0,36119,784.848251613,60,21190,643.0,In Service,37
302,Avenue D & E 3 St,40.72082834,-73.97793172,14537,838.152025865,60,19525,700.0,14504,836.799917264,60,21302,685.0,In Service,23
303,Mercer St & Spring St,40.72362738,-73.99949601,26278,875.185744729,60,21412,687.5,28198,868.60089368,60,20303,686.0,In Service,31
304,Broadway & Battery Pl,40.70463334,-74.01361706,28119,1280.43899143,60,20563,1127.0,28350,1180.99181658,61,21081,985.0,In Service,36
305,E 58 St & 3 Ave,40.76095756,-73.96724467,36018,962.302626465,60,21532,795.0,36645,926.047209715,60,21427,737.0,In Service,33
306,Cliff St & Fulton St,40.70823502,-74.00530063,21381,881.366961321,60,20571,669.0,21799,858.544199275,60,20363,633.0,In Service,25
307,Canal St & Rutgers St,40.71427487,-73.98990025,34773,726.133983263,60,19934,559.0,34950,747.669098712,60,20949,589.0,In Service,29
308,St James Pl & Oliver St,40.71307916,-73.99851193,16622,745.29491036,60,19340,509.0,16890,771.459029011,60,19955,550.0,In Service,27
